Dimension:4x14170
RThighAng,LThighAng,RShankAng,LShankAng,
 -2.716693100354, -1.991337978932, -3.950687274064,-32.574250570130,
 -2.718403366251, -1.991043275251, -3.951367088618,-32.572657211055,
 -2.720098143063, -1.990917795724, -3.952564171277,-32.571560517724,
 -2.722222357898, -1.991077568348, -3.953503096804,-32.570953222252,
 -2.723817877568, -1.990751118839, -3.955003630832,-32.570204385139,
 -2.725257654202, -1.990360747027, -3.956541670213,-32.570212541720,
 -2.726592081418, -1.990264475771, -3.957727533807,-32.569805344348,
 -2.727759041892, -1.989899585509, -3.959844555303,-32.569009290162,
 -2.729565960725, -1.990152316391, -3.961421872241,-32.568134875701,
 -2.731887148655, -1.989827368084, -3.963499149941,-32.567796249510,
 -2.734302918905, -1.989572035427, -3.965562944225,-32.567396352488,
 -2.736521513079, -1.989338959667, -3.967626122963,-32.566020687601,
 -2.739364468735, -1.989050502366, -3.970068837467,-32.564615219109,
 -2.739364468735, -1.989050502366, -3.970068837467,-32.564615219109,
 -2.742547988208, -1.989703092286, -3.971046065908,-32.562547868584,
 -2.743848392234, -1.988684749868, -3.973431794791,-32.561481959494,
 -2.744856163199, -1.987668736221, -3.976343932832,-32.559945348434,
 -2.744856163199, -1.987668736221, -3.976343932832,-32.559945348434,
 -2.746264403195, -1.986009163314, -3.981707419715,-32.557335717932,
 -2.746780933386, -1.985295524949, -3.984880297534,-32.556207394924,
 -2.746780933386, -1.985295524949, -3.984880297534,-32.556207394924,
 -2.748094466551, -1.984142101805, -3.991671662081,-32.554648807832,
 -2.748874371921, -1.983921929590, -3.994784045102,-32.554654084935,
 -2.749892714581, -1.984004762148, -3.998621299578,-32.554408140268,
 -2.749892714581, -1.984004762148, -3.998621299578,-32.554408140268,
 -2.752417442911, -1.982370705017, -4.009752394363,-32.556352965094,
 -2.754065338339, -1.981602698389, -4.013168263047,-32.556773401728,
 -2.756480439083, -1.981538791959, -4.020157494132,-32.559750607430,
 -2.757570821334, -1.982046458886, -4.023120745673,-32.560574306353,
 -2.757570821334, -1.982046458886, -4.023120745673,-32.560574306353,
 -2.758969116351, -1.982921844903, -4.025976102747,-32.561503724902,
 -2.761594297376, -1.985853692111, -4.031796636927,-32.562547031811,
 -2.762908710273, -1.987282824396, -4.034260817000,-32.563433951463,
 -2.764236792477, -1.988837305150, -4.036100134076,-32.563829731825,
 -2.765367189397, -1.990259870863, -4.038599898785,-32.564857948998,
 -2.766632489114, -1.991400917178, -4.041043652669,-32.565998569285,
 -2.767489588977, -1.992761496321, -4.043693392519,-32.567122841454,
 -2.768926545852, -1.994099375187, -4.046494787700,-32.568792395101,
 -2.770670757117, -1.995383444307, -4.049188160156,-32.570496642395,
 -2.772786684465, -1.996338314633, -4.051487765293,-32.572105100194,
 -2.774906511185, -1.997194376637, -4.054054148211,-32.573647283072,
 -2.776827121268, -1.997358590463, -4.056422053862,-32.575347972371,
 -2.779003263709, -1.997173764135, -4.058964589640,-32.576715563839,
 -2.780533912079, -1.996321556012, -4.061032660113,-32.577754728411,
 -2.781857386542, -1.995679054563, -4.063492046557,-32.579162810500,
 -2.783095801525, -1.995428674037, -4.065072047452,-32.581252292952,
 -2.784106014692, -1.995173664604, -4.067251419788,-32.583288175920,
 -2.784106014692, -1.995173664604, -4.067251419788,-32.583288175920,
